customer_city,customer_state,total_orders,unique_customers,order_category
abadia dos dourados,MG,3,3,Low
abadiania,GO,1,1,Low
abaete,MG,11,11,Low
abaetetuba,PA,11,11,Low
abaiara,CE,2,2,Low
abaira,BA,2,2,Low
abare,BA,2,2,Low
abatia,PR,3,3,Low
abdon batista,SC,1,1,Low
abelardo luz,SC,6,6,Low
abrantes,BA,1,1,Low
abre campo,MG,5,5,Low
abreu e lima,PE,11,9,Low
acaiaca,MG,2,2,Low
acailandia,MA,7,7,Low
acajutiba,BA,1,1,Low
acarau,CE,8,6,Low
acari,RN,1,1,Low
acegua,RS,2,2,Low
acopiara,CE,7,7,Low
acreuna,GO,7,7,Low
acu,RN,2,2,Low
acucena,MG,1,1,Low
adamantina,SP,35,34,Low
adhemar de barros,PR,1,1,Low
adolfo,SP,5,5,Low
adrianopolis,PR,1,1,Low
adustina,BA,1,1,Low
afogados da ingazeira,PE,8,8,Low
afonso claudio,ES,11,11,Low
afranio,PE,2,2,Low
agisse,SP,1,1,Low
agrestina,PE,1,1,Low
agrolandia,SC,1,1,Low
agronomica,SC,2,2,Low
agua boa,MT,18,16,Low
agua branca,AL,1,1,Low
agua branca,PB,2,2,Low
agua branca,PI,2,2,Low
agua clara,MS,2,2,Low
agua comprida,MG,2,2,Low
agua doce,SC,1,1,Low
agua doce do norte,ES,4,4,Low
agua fria de goias,GO,1,1,Low
agua limpa,GO,1,1,Low
agua nova,RN,1,1,Low
agua preta,PE,1,1,Low
agua santa,RS,2,2,Low
aguai,SP,9,9,Low
aguas belas,PE,6,6,Low
aguas claras,RS,1,1,Low
aguas da prata,SP,10,10,Low
aguas de lindoia,SP,22,22,Low
aguas de santa barbara,SP,3,3,Low
aguas de sao pedro,SP,2,2,Low
aguas formosas,MG,5,5,Low
aguas frias,SC,1,1,Low
aguas lindas de goias,GO,24,23,Low
aguas mornas,SC,1,1,Low
aguas vermelhas,MG,3,3,Low
agudo,RS,1,1,Low
agudos,SP,16,16,Low
aguia branca,ES,1,1,Low
aimores,MG,10,10,Low
aiuaba,CE,1,1,Low
aiuruoca,MG,4,4,Low
ajapi,SP,1,1,Low
ajuricaba,RS,2,2,Low
alagoa,MG,1,1,Low
alagoa grande,PB,1,1,Low
alagoa nova,PB,1,1,Low
alagoinha,PB,2,2,Low
alagoinhas,BA,40,39,Low
alambari,SP,3,3,Low
alcantara,MA,1,1,Low
alcinopolis,MS,6,4,Low
alcobaca,BA,4,4,Low
alegre,ES,17,17,Low
alegrete,RS,35,34,Low
alegrete do piaui,PI,1,1,Low
alegria,RS,1,1,Low
alem paraiba,MG,28,28,Low
alexandra,PR,1,1,Low
alexandria,RN,2,2,Low
alexandrita,MG,1,1,Low
alexania,GO,5,5,Low
alfenas,MG,43,42,Low
alfredo chaves,ES,7,6,Low
alfredo marcondes,SP,1,1,Low
alfredo vasconcelos,MG,3,3,Low
alfredo wagner,SC,2,2,Low
alhandra,PB,2,2,Low
alianca,PE,1,1,Low
alianca do tocantins,TO,2,2,Low
almas,TO,1,1,Low
almenara,MG,14,14,Low
almino afonso,RN,1,1,Low
almirante tamandare,PR,35,34,Low
almirante tamandare do sul,RS,1,1,Low
alpercata,MG,2,2,Low
alpestre,RS,1,1,Low
alpinopolis,MG,7,6,Low
alta floresta,MT,12,10,Low
alta floresta d'oeste,RO,3,3,Low
altamira,PA,25,25,Low
altamira do parana,PR,2,2,Low
altaneira,CE,2,2,Low
alterosa,MG,3,3,Low
altinho,PE,1,1,Low
altinopolis,SP,4,4,Low
alto alegre,PR,2,2,Low
alto alegre,RS,1,1,Low
alto alegre do iguacu,PR,2,1,Low
alto alegre do maranhao,MA,1,1,Low
alto alegre do pindare,MA,1,1,Low
alto araguaia,MT,5,5,Low
alto boa vista,MT,5,3,Low
alto caparao,MG,2,2,Low
alto do rodrigues,RN,8,7,Low
alto garcas,MT,2,2,Low
alto horizonte,GO,2,2,Low
alto jequitiba,MG,3,3,Low
alto paraiso,PR,1,1,Low
alto paraiso,RO,1,1,Low
alto paraiso de goias,GO,9,9,Low
alto parana,PR,2,2,Low
alto parnaiba,MA,5,5,Low
alto piquiri,PR,1,1,Low
alto rio doce,MG,4,4,Low
alto rio novo,ES,2,2,Low
alto santo,CE,3,3,Low
alto sao joao,PR,1,1,Low
alto taquari,MT,3,3,Low
altonia,PR,3,3,Low
altos,PI,5,5,Low
aluminio,SP,13,13,Low
alvarenga,MG,2,2,Low
alvares florence,SP,2,2,Low
alvares machado,SP,8,8,Low
alvaro de carvalho,SP,2,2,Low
alvinopolis,MG,11,11,Low
alvorada,RS,50,50,Low
alvorada,TO,6,5,Low
alvorada d'oeste,RO,1,1,Low
alvorada do gurgueia,PI,1,1,Low
alvorada do norte,GO,3,2,Low
amambai,MS,6,6,Low
amanari,CE,1,1,Low
amapa do maranhao,MA,1,1,Low
amapora,PR,2,2,Low
amaraji,PE,2,2,Low
amarante,PI,1,1,Low
amargosa,BA,1,1,Low
amelia rodrigues,BA,3,3,Low
america dourada,BA,1,1,Low
americana,SP,216,212,Low
americano do brasil,GO,3,3,Low
americo brasiliense,SP,17,15,Low
americo de campos,SP,1,1,Low
ametista do sul,RS,2,2,Low
amontada,CE,1,1,Low
amparo,SP,63,58,Low
amparo da serra,MG,1,1,Low
ampere,PR,8,6,Low
anadia,AL,2,2,Low
anage,BA,1,1,Low
analandia,SP,4,4,Low
ananas,TO,1,1,Low
ananindeua,PA,85,82,Low
anapolis,GO,111,108,Low
anastacio,MS,2,2,Low
anaurilandia,MS,1,1,Low
anchieta,ES,14,12,Low
anchieta,SC,3,3,Low
andarai,BA,1,1,Low
andira,PR,11,9,Low
andorinha,BA,5,5,Low
andradas,MG,12,11,Low
andradina,SP,40,38,Low
andre da rocha,RS,1,1,Low
andrelandia,MG,3,3,Low
andrequice,MG,1,1,Low
angatuba,SP,8,8,Low
angelica,MS,1,1,Low
angelina,SC,1,1,Low
angelo frechiani,ES,1,1,Low
angical,BA,1,1,Low
angical do piaui,PI,1,1,Low
angicos,RN,1,1,Low
angra dos reis,RJ,83,80,Low
anguera,BA,1,1,Low
angulo,PR,3,3,Low
angustura,MG,1,1,Low
anhandui,MS,1,1,Low
anhembi,SP,1,1,Low
anhumas,SP,1,1,Low
anicuns,GO,8,8,Low
anita garibaldi,SC,5,5,Low
anitapolis,SC,2,2,Low
anta,RJ,3,3,Low
anta gorda,RS,4,4,Low
antonina,PR,10,10,Low
antonina do norte,CE,1,1,Low
antonio cardoso,BA,2,2,Low
antonio carlos,MG,1,1,Low
antonio carlos,SC,2,2,Low
antonio goncalves,BA,1,1,Low
antonio martins,RN,1,1,Low
antonio pereira,MG,2,2,Low
antonio prado,RS,5,4,Low
antonio prado de minas,MG,3,3,Low
antunes,MG,1,1,Low
aparecida,SP,25,23,Low
aparecida d'oeste,SP,1,1,Low
aparecida de goiania,GO,105,100,Low
aparecida de monte alto,SP,1,1,Low
aparecida de sao manuel,SP,2,2,Low
aparecida do rio negro,TO,1,1,Low
aparecida do taboado,MS,7,7,Low
aperibe,RJ,12,12,Low
apiaca,ES,6,6,Low
apiai,SP,6,6,Low
apiuna,SC,7,6,Low
apodi,RN,3,3,Low
apora,BA,1,1,Low
apore,GO,1,1,Low
apuarema,BA,1,1,Low
apucarana,PR,51,49,Low
apuiares,CE,2,2,Low
aquidaba,SE,1,1,Low
aquidauana,MS,3,3,Low
aquiraz,CE,1,1,Low
aracaju,SE,213,209,Low
aracariguama,SP,8,7,Low
aracati,CE,21,21,Low
aracatu,BA,1,1,Low
aracatuba,SP,138,133,Low
arace,ES,4,4,Low
araci,BA,3,3,Low
aracitaba,MG,2,2,Low
aracoiaba,CE,3,3,Low
aracoiaba,PE,2,2,Low
aracoiaba da serra,SP,11,11,Low
aracruz,ES,40,38,Low
aracuai,MG,9,9,Low
aragarcas,GO,3,3,Low
aragoiania,GO,1,1,Low
araguacu,TO,1,1,Low
araguaia,ES,1,1,Low
araguaina,TO,38,37,Low
araguana,MA,1,1,Low
araguapaz,GO,2,2,Low
araguari,MG,54,53,Low
araguatins,TO,5,4,Low
aramari,BA,2,1,Low
arame,MA,1,1,Low
aramina,SP,1,1,Low
arandu,SP,3,3,Low
arantina,MG,1,1,Low
arapei,SP,2,2,Low
arapiraca,AL,29,28,Low
arapoema,TO,1,1,Low
araponga,MG,2,2,Low
arapongas,PR,32,31,Low
arapora,MG,5,5,Low
arapoti,PR,9,9,Low
arapua,MG,1,1,Low
araputanga,MT,4,4,Low
araquari,SC,11,11,Low
arara,PB,1,1,Low
ararangua,SC,18,18,Low
araraquara,SP,150,145,Low
araras,SP,93,88,Low
arari,MA,2,2,Low
ararica,RS,2,2,Low
araripe,CE,1,1,Low
araripina,PE,11,11,Low
araruama,RJ,74,72,Low
araruna,PB,1,1,Low
araruna,PR,4,4,Low
arataca,BA,1,1,Low
aratiba,RS,1,1,Low
aratuba,CE,2,2,Low
araucaria,PR,54,52,Low
araujos,MG,5,5,Low
araxa,MG,75,75,Low
arceburgo,MG,7,7,Low
arcos,MG,25,24,Low
arcoverde,PE,5,5,Low
areado,MG,6,6,Low
areal,RJ,7,7,Low
arealva,SP,3,3,Low
areia,PB,2,2,Low
